species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,SEX_MALE,SEX_FEMALE,island_Dream,island_Biscoe,island_Torgersen
0,0.2075471698113207,0.4642857142857144,0.27118644067796627,0.05555555555555558,1.0,0.0,0.0,0.0,1.0
0,0.24905660377358507,0.5476190476190474,0.3559322033898309,0.13888888888888884,1.0,0.0,1.0,0.0,0.0
1,0.7999999999999998,0.30952380952380953,1.0,0.8194444444444444,0.0,1.0,1.0,0.0,0.0
0,0.30188679245283034,0.6071428571428572,0.33898305084745806,0.375,0.0,1.0,1.0,0.0,0.0
2,0.6226415094339623,0.6071428571428572,0.3559322033898309,0.29861111111111116,0.0,1.0,0.0,1.0,0.0
0,0.09433962264150941,0.5238095238095237,0.3220338983050848,0.13194444444444442,1.0,0.0,0.0,1.0,0.0
0,0.30188679245283034,0.7023809523809526,0.1694915254237288,0.20138888888888884,0.0,1.0,0.0,1.0,0.0
0,0.41509433962264164,0.7857142857142856,0.4067796610169494,0.4722222222222223,0.0,1.0,0.0,1.0,0.0
0,0.1433962264150943,0.6547619047619051,0.2881355932203391,0.2222222222222222,1.0,0.0,0.0,1.0,0.0
1,0.4566037735849058,0.08333333333333348,0.7288135593220342,0.5694444444444444,1.0,0.0,1.0,0.0,0.0
0,0.3094339622641509,0.9523809523809526,0.38983050847457656,0.4722222222222223,0.0,1.0,1.0,0.0,0.0
1,0.4528301886792454,0.16666666666666674,0.7288135593220342,0.6388888888888888,1.0,0.0,1.0,0.0,0.0
2,0.611320754716981,0.8095238095238093,0.5254237288135597,0.375,0.0,1.0,0.0,1.0,0.0
0,0.1169811320754719,0.35714285714285743,0.25423728813559343,0.23611111111111116,1.0,0.0,0.0,0.0,1.0
0,0.18113207547169807,0.6547619047619051,0.0,0.125,1.0,0.0,1.0,0.0,0.0
2,0.39245283018867916,0.5952380952380953,0.5084745762711869,0.19444444444444442,1.0,0.0,0.0,1.0,0.0
0,0.19245283018867942,0.5952380952380953,0.22033898305084776,0.3472222222222223,0.0,1.0,1.0,0.0,0.0
1,0.5660377358490567,0.23809523809523814,0.6271186440677967,0.7777777777777777,0.0,1.0,1.0,0.0,0.0
1,0.5811320754716982,0.22619047619047628,0.7966101694915255,0.5972222222222223,1.0,0.0,1.0,0.0,0.0
0,0.3698113207547169,0.535714285714286,0.4067796610169494,0.5555555555555556,0.0,1.0,0.0,0.0,1.0
0,0.07547169811320753,0.75,0.3559322033898309,0.41666666666666674,0.0,1.0,0.0,0.0,1.0
1,0.679245283018868,0.38095238095238115,0.8135593220338984,0.9166666666666667,0.0,1.0,1.0,0.0,0.0
1,0.5433962264150942,0.13095238095238093,0.6271186440677967,0.5277777777777777,1.0,0.0,1.0,0.0,0.0
0,0.4792452830188678,0.6904761904761902,0.42372881355932224,0.4027777777777777,0.0,1.0,0.0,0.0,1.0
1,0.3849056603773584,0.03571428571428581,0.6271186440677967,0.4722222222222223,1.0,0.0,1.0,0.0,0.0
0,0.12452830188679243,0.4642857142857144,0.38983050847457656,0.17361111111111116,1.0,0.0,0.0,1.0,0.0
0,0.28301886792452846,0.48809523809523814,0.25423728813559343,0.2152777777777778,0.0,1.0,0.0,1.0,0.0
2,0.4716981132075473,0.75,0.37288135593220373,0.22916666666666663,1.0,0.0,0.0,1.0,0.0
0,0.1773584905660377,0.4761904761904763,0.2372881355932206,0.16666666666666663,0.0,1.0,0.0,0.0,1.0
0,0.10566037735849054,0.41666666666666696,0.30508474576271194,0.09722222222222221,1.0,0.0,0.0,0.0,1.0
0,0.4716981132075473,0.8571428571428572,0.3220338983050848,0.5277777777777777,0.0,1.0,1.0,0.0,0.0
1,0.4566037735849058,0.3214285714285716,0.7288135593220342,0.7222222222222223,0.0,1.0,1.0,0.0,0.0
0,0.2716981132075471,0.6428571428571428,0.4067796610169494,0.45833333333333326,0.0,1.0,0.0,1.0,0.0
2,0.6754716981132076,0.6785714285714288,0.5254237288135597,0.38888888888888884,0.0,1.0,0.0,1.0,0.0
1,0.6377358490566039,0.38095238095238115,0.9830508474576272,0.8333333333333333,0.0,1.0,1.0,0.0,0.0
0,0.12452830188679243,0.4761904761904763,0.20338983050847492,0.04166666666666663,1.0,0.0,1.0,0.0,0.0
1,0.5396226415094338,0.1785714285714286,0.6779661016949157,0.5625,1.0,0.0,1.0,0.0,0.0
1,0.5169811320754716,0.27380952380952395,0.7288135593220342,0.6805555555555556,0.0,1.0,1.0,0.0,0.0
0,0.3547169811320754,0.9047619047619047,0.42372881355932224,0.5,0.0,1.0,0.0,0.0,1.0
1,0.5018867924528301,0.22619047619047628,0.745762711864407,0.5555555555555556,1.0,0.0,1.0,0.0,0.0
2,0.4566037735849058,0.5595238095238098,0.4406779661016951,0.3472222222222223,1.0,0.0,0.0,1.0,0.0
0,0.15471698113207566,0.5952380952380953,0.10169491525423746,0.33333333333333326,0.0,1.0,0.0,1.0,0.0
0,0.29433962264150937,0.6904761904761902,0.20338983050847492,0.33333333333333326,0.0,1.0,0.0,1.0,0.0
0,0.290566037735849,0.6309523809523809,0.38983050847457656,0.33333333333333326,0.0,1.0,0.0,1.0,0.0
0,0.28301886792452846,0.7023809523809526,0.4576271186440679,0.36111111111111116,0.0,1.0,0.0,0.0,1.0
1,0.4528301886792454,0.16666666666666674,0.593220338983051,0.6527777777777777,1.0,0.0,1.0,0.0,0.0
0,0.05283018867924527,0.5952380952380953,0.25423728813559343,0.05555555555555558,1.0,0.0,1.0,0.0,0.0
0,0.049056603773584895,0.6309523809523809,0.20338983050847492,0.17361111111111116,1.0,0.0,0.0,0.0,1.0
0,0.08301886792452828,0.6904761904761902,0.25423728813559343,0.3055555555555556,1.0,0.0,1.0,0.0,0.0
1,0.8603773584905658,0.4642857142857144,0.9491525423728815,0.8055555555555556,0.0,1.0,1.0,0.0,0.0
1,0.5169811320754716,0.14285714285714302,0.7288135593220342,0.5972222222222223,1.0,0.0,1.0,0.0,0.0
1,0.5924528301886791,0.36904761904761907,0.8474576271186445,0.9166666666666667,0.0,1.0,1.0,0.0,0.0
0,0.31320754716981125,0.6428571428571428,0.5084745762711869,0.32638888888888884,0.0,1.0,0.0,0.0,1.0
1,0.3698113207547169,0.0,0.7288135593220342,0.6388888888888888,1.0,0.0,1.0,0.0,0.0
1,0.6339622641509433,0.35714285714285743,0.6949152542372885,0.75,0.0,1.0,1.0,0.0,0.0
2,0.5169811320754716,0.4047619047619049,0.2881355932203391,0.26388888888888884,1.0,0.0,0.0,1.0,0.0
1,0.5018867924528301,0.29761904761904767,0.8305084745762712,0.6388888888888888,0.0,1.0,1.0,0.0,0.0
1,0.6377358490566039,0.25,0.7796610169491527,0.8333333333333333,0.0,1.0,1.0,0.0,0.0
1,0.618867924528302,0.36904761904761907,0.9661016949152543,0.8611111111111112,0.0,1.0,1.0,0.0,0.0
1,0.5433962264150942,0.22619047619047628,0.7796610169491527,0.625,1.0,0.0,1.0,0.0,0.0
0,0.24905660377358507,0.6904761904761902,0.20338983050847492,0.23611111111111116,0.0,1.0,1.0,0.0,0.0
2,0.5811320754716982,0.5238095238095237,0.3220338983050848,0.19444444444444442,0.0,1.0,0.0,1.0,0.0
0,0.22264150943396221,0.5238095238095237,0.2372881355932206,0.23611111111111116,1.0,0.0,1.0,0.0,0.0
2,0.6264150943396227,0.6547619047619051,0.38983050847457656,0.25,0.0,1.0,0.0,1.0,0.0
1,0.41132075471698104,0.059523809523809534,0.6101694915254239,0.45833333333333326,1.0,0.0,1.0,0.0,0.0
0,0.10943396226415092,0.5714285714285712,0.30508474576271194,0.20833333333333337,1.0,0.0,0.0,1.0,0.0
0,0.2415094339622641,0.4285714285714286,0.10169491525423746,0.1527777777777778,1.0,0.0,0.0,1.0,0.0
2,0.739622641509434,0.7976190476190479,0.42372881355932224,0.2847222222222223,0.0,1.0,0.0,1.0,0.0
0,0.21886792452830184,0.5595238095238098,0.15254237288135597,0.2569444444444444,1.0,0.0,0.0,0.0,1.0
0,0.2716981132075471,0.5833333333333335,0.38983050847457656,0.1527777777777778,1.0,0.0,0.0,0.0,1.0
0,0.1283018867924528,0.5833333333333335,0.1694915254237288,0.125,1.0,0.0,0.0,1.0,0.0
0,0.3396226415094341,0.7142857142857144,0.38983050847457656,0.36111111111111116,0.0,1.0,0.0,0.0,1.0
1,0.49056603773584917,0.011904761904761862,0.6610169491525424,0.5,1.0,0.0,1.0,0.0,0.0
2,0.38113207547169825,0.41666666666666696,0.25423728813559343,0.05555555555555558,1.0,0.0,0.0,1.0,0.0
2,0.6679245283018866,0.6428571428571428,0.4915254237288136,0.48611111111111116,0.0,1.0,0.0,1.0,0.0
1,0.49433962264150955,0.15476190476190488,0.7118644067796613,0.5416666666666667,0.0,1.0,1.0,0.0,0.0
0,0.29811320754716975,0.8214285714285716,0.5254237288135597,0.5625,0.0,1.0,1.0,0.0,0.0
2,0.520754716981132,0.41666666666666696,0.33898305084745806,0.0,1.0,0.0,0.0,1.0,0.0
2,0.5433962264150942,0.4404761904761907,0.4576271186440679,0.33333333333333326,1.0,0.0,0.0,1.0,0.0
1,0.39245283018867916,0.13095238095238093,0.8135593220338984,0.5555555555555556,1.0,0.0,1.0,0.0,0.0
